user_ID,Major/Field of Study,College Grade Level,Section,Question,Answer
1,Agricultural Economics,Junior,1: Academic Background,1. What is your major or field of study?,Agricultural Economics
2,Agronomy,Sophomore,1: Academic Background,1. What is your major or field of study?,Agronomy
3,Agronomy,Senior,1: Academic Background,1. What is your major or field of study?,Agronomy
4,Agronomy,Junior,1: Academic Background,1. What is your major or field of study?,Agronomy
5,Environmental Science,Junior,1: Academic Background,1. What is your major or field of study?,Environmental Science
6,Animal Science,Senior,1: Academic Background,1. What is your major or field of study?,Animal Science
7,Environmental Science,Sophomore,1: Academic Background,1. What is your major or field of study?,Environmental Science
8,Animal Science,Senior,1: Academic Background,1. What is your major or field of study?,Animal Science
9,Agricultural Economics,Sophomore,1: Academic Background,1. What is your major or field of study?,Agricultural Economics
10,Animal Science,Senior,1: Academic Background,1. What is your major or field of study?,Animal Science
11,Animal Science,Junior,1: Academic Background,1. What is your major or field of study?,Animal Science
12,Animal Science,Senior,1: Academic Background,1. What is your major or field of study?,Animal Science
13,Environmental Science,Sophomore,1: Academic Background,1. What is your major or field of study?,Environmental Science
14,Agricultural & Biological Engineering,Senior,1: Academic Background,1. What is your major or field of study?,Agricultural & Biological Engineering
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,1: Academic Background,1. What is your major or field of study?,"Plant Genetics, Breeding, and Biotechnology program"
16,Agricultural & Biological Engineering,Senior,1: Academic Background,1. What is your major or field of study?,Agricultural & Biological Engineering
1,Agricultural Economics,Junior,1: Academic Background,2. What is college grade level classification?,Junior
2,Agronomy,Sophomore,1: Academic Background,2. What is college grade level classification?,Sophomore
3,Agronomy,Senior,1: Academic Background,2. What is college grade level classification?,Senior
4,Agronomy,Junior,1: Academic Background,2. What is college grade level classification?,Junior
5,Environmental Science,Junior,1: Academic Background,2. What is college grade level classification?,Junior
6,Animal Science,Senior,1: Academic Background,2. What is college grade level classification?,Senior
7,Environmental Science,Sophomore,1: Academic Background,2. What is college grade level classification?,Sophomore
8,Animal Science,Senior,1: Academic Background,2. What is college grade level classification?,Senior
9,Agricultural Economics,Sophomore,1: Academic Background,2. What is college grade level classification?,Sophomore
10,Animal Science,Senior,1: Academic Background,2. What is college grade level classification?,Senior
11,Animal Science,Junior,1: Academic Background,2. What is college grade level classification?,Junior
12,Animal Science,Senior,1: Academic Background,2. What is college grade level classification?,Senior
13,Environmental Science,Sophomore,1: Academic Background,2. What is college grade level classification?,Sophomore
14,Agricultural & Biological Engineering,Senior,1: Academic Background,2. What is college grade level classification?,Senior
15,"Plant Genetics, Breeding, and Biotechnology program",Senior,1: Academic Background,2. What is college grade level classification?,Senior
16,Agricultural & Biological Engineering,Senior,1: Academic Background,2. What is college grade level classification?,Senior
1,Agricultural Economics,Junior,1: Academic Background,"3. Have you taken any previous course(s) related to data science, statistics, or programming?",Yes
2,Agronomy,Sophomore,1: Academic Background,"3. Have you taken any previous course(s) related to data science, statistics, or programming?",Data Mine
